iter	MultiClass
0	1.032779041
1	0.9698416286
2	0.9185306033
3	0.86935662
4	0.8242670754
5	0.7839676511
6	0.7492837512
7	0.7161991333
8	0.6840026768
9	0.6557371835
10	0.6315723408
11	0.607018013
12	0.5842793481
13	0.5637186178
14	0.5458672453
15	0.5276449184
16	0.509660304
17	0.492699257
18	0.476936743
19	0.4641578514
20	0.4511370342
21	0.4382948946
22	0.4268043242
23	0.4161222101
24	0.405602465
25	0.3955390506
26	0.3860459154
27	0.3781836287
28	0.3695804285
29	0.3618819119
30	0.3550337389
31	0.3485668271
32	0.3419391376
33	0.3354924822
34	0.3305139214
35	0.324731614
36	0.319865538
37	0.3149272457
38	0.3096935809
39	0.3062796931
40	0.3015413916
41	0.2974131498
42	0.2935057461
43	0.2891097859
44	0.2856519684
45	0.2827077681
46	0.278975603
47	0.2756089262
48	0.2724152528
49	0.2697534077
50	0.2667533087
51	0.2642309127
52	0.2618766061
53	0.2597873361
54	0.2573956146
55	0.255175993
56	0.2531532968
57	0.2509893504
58	0.2485922195
59	0.2469014047
60	0.2456473888
61	0.2435151013
62	0.2421331411
63	0.240408165
64	0.239498519
65	0.238486744
66	0.2370838656
67	0.2357093769
68	0.2341796532
69	0.2331360871
70	0.2322981145
71	0.2309428953
72	0.2301995214
73	0.2291382683
74	0.2281477648
75	0.2272589643
76	0.2261723566
77	0.2250299016
78	0.2238280674
79	0.2230852661
80	0.222363858
81	0.2216169939
82	0.2208951404
83	0.2202867215
84	0.2191194672
85	0.2182698098
86	0.2172852694
87	0.2165634874
88	0.2156121936
89	0.2148690636
90	0.2142837965
91	0.2134026714
92	0.2125239371
93	0.2114876867
94	0.2109823155
95	0.2099510315
96	0.2094103414
97	0.2083792268
98	0.207819892
99	0.2072282195
100	0.2065995231
101	0.2058082069
102	0.2053093987
103	0.2048389808
104	0.2041659574
105	0.2034421937
106	0.202992582
107	0.2024468464
108	0.2019218136
109	0.2012277888
110	0.2005279729
111	0.2000699816
112	0.1992244069
113	0.1985741923
114	0.1981943144
115	0.1975489749
116	0.1970902183
117	0.1966721831
118	0.1961062792
119	0.1957256951
120	0.1952325071
121	0.1947083584
122	0.1940368716
123	0.193458848
124	0.192949598
125	0.1923121319
126	0.1919236693
127	0.1911182255
128	0.190685829
129	0.1901849311
130	0.1897143901
131	0.1893580928
132	0.188855088
133	0.1884747424
134	0.1880123438
135	0.1875209362
136	0.1871634396
137	0.1867441102
138	0.1863652627
139	0.1858810399
140	0.185448246
141	0.1850803865
142	0.1843701112
143	0.1839071051
144	0.1833776467
145	0.1830420048
146	0.1827783575
147	0.1824172723
148	0.1819033813
149	0.1814688753
150	0.1809760845
151	0.1807194092
152	0.1803882515
153	0.1801402449
154	0.179718436
155	0.17930675
156	0.1787646332
157	0.178319007
158	0.1780598733
159	0.1778482101
160	0.1774159616
161	0.1770671751
162	0.176829234
163	0.1765210207
164	0.1759051989
165	0.1754178414
166	0.1751076753
167	0.1748635878
168	0.1741962048
169	0.1738396252
170	0.1734386182
171	0.1729885841
172	0.17265031
173	0.1720955024
174	0.1717618896
175	0.1714314697
176	0.1711256521
177	0.1705805911
178	0.170170189
179	0.1698867771
180	0.169593932
181	0.1693197103
182	0.1691570932
183	0.1689001898
184	0.1686466056
185	0.1683444487
186	0.1679231636
187	0.1674768194
188	0.1670699273
189	0.16681602
190	0.1666205184
191	0.1664708573
192	0.1660001833
193	0.1656959835
194	0.1655001629
195	0.1651746656
196	0.1648271581
197	0.1642661181
198	0.1635956047
199	0.1632406626
200	0.1630061288
201	0.162800541
202	0.1623836894
203	0.1617361951
204	0.1614277165
205	0.1611326615
206	0.1607559567
207	0.1604214978
208	0.1602015659
209	0.1598542518
210	0.1595518122
211	0.1593628653
212	0.1590194209
213	0.1587846664
214	0.1585599375
215	0.1581349571
216	0.1578679733
217	0.1574278077
218	0.1569043027
219	0.156458886
220	0.1560304287
221	0.1556600138
222	0.1553800962
223	0.1548677324
224	0.1546863483
225	0.1543883978
226	0.1541108305
227	0.153717635
228	0.15331311
229	0.1531886498
230	0.1529629772
231	0.1526778643
232	0.1523274454
233	0.1520811555
234	0.1517092514
235	0.1515670305
236	0.151354301
237	0.1509889856
238	0.1505301872
239	0.1502605452
240	0.1498872446
241	0.1497257755
242	0.1494786787
243	0.1493217621
244	0.1488915298
245	0.1486699727
246	0.1483479479
247	0.1479767935
248	0.1475403506
249	0.147337096
250	0.1470067051
251	0.1467234963
252	0.1464613979
253	0.1462625626
254	0.1459891806
255	0.1458142479
256	0.1456506639
257	0.1453125217
258	0.1450038208
259	0.1447400713
260	0.1445947193
261	0.1443211668
262	0.1439579861
263	0.1435315012
264	0.1433445184
265	0.1430618567
266	0.1427960425
267	0.1426018122
268	0.1423689429
269	0.1422488144
270	0.1420748139
271	0.1417858372
272	0.1416113907
273	0.1414272163
274	0.1412238912
275	0.1410969214
276	0.1409219465
277	0.1406157705
278	0.1403946011
279	0.1401578327
280	0.1398824278
281	0.1395813386
282	0.1393695932
283	0.1391341902
284	0.1389333293
285	0.1386545553
286	0.1383900423
287	0.1381283951
288	0.137910174
289	0.1377299034
290	0.1375783861
291	0.1371336863
292	0.1369534985
293	0.1367956801
294	0.1365499022
295	0.1362678123
296	0.135904062
297	0.1357055473
298	0.1355704898
299	0.1353182582
